#{"t_start": 1653449102.3098736, "env_id": null}
r,l,t
-1000.888702,59,7.268981
-1000.888702,59,13.438063
-1000.888702,59,19.925938
-868.45728,59,28.47263
-868.45728,59,35.095689
-868.45728,59,41.468029
-863.037338,59,49.416733
-863.037338,59,56.13544
-863.037338,59,62.460546
-862.339446,59,70.377751
-862.339446,59,76.815065
-862.339446,59,83.306911
-853.276918,59,91.410107
-853.276918,59,97.834185
-853.276918,59,104.378062
-999.820073,59,112.692104
-999.820073,59,119.198392
-999.820073,59,125.847014
-1166.717159,59,133.832638
-1166.717159,59,140.434486
-1166.717159,59,147.078252
-1003.954153,59,154.81042
-1003.954153,59,161.387988
-1003.954153,59,167.971215
-894.714416,59,175.458362
-894.714416,59,181.882398
-894.714416,59,188.22783
-1008.954153,59,195.871593
-1008.954153,59,202.453512
-1008.954153,59,208.947368
-1169.100492,59,216.597334
-1169.100492,59,223.139029
-1169.100492,59,229.687401
-1169.100492,59,237.465008
-1169.100492,59,244.015518
-1169.100492,59,250.645504
-1159.100492,59,258.765691
-1159.100492,59,265.417391
-1159.100492,59,272.086437
-1155.91068,59,279.824527
-1155.91068,59,286.408924
-1155.91068,59,293.01153
-1146.20153,59,300.773683
-1146.20153,59,307.321963
-1146.20153,59,313.858611
-1146.20153,59,321.620401
-1146.20153,59,328.623965
-1146.20153,59,335.336098
-1156.20153,59,343.097268
-1156.20153,59,349.690808
-1156.20153,59,356.632297
-1151.888074,59,364.299305
-1151.888074,59,370.913415
-1151.888074,59,377.511642
-1146.20153,59,385.201946
-1146.20153,59,391.819346
-1146.20153,59,398.448882
-1169.388074,59,406.157891
-1169.388074,59,412.807128
-1169.388074,59,419.356843
-1151.20153,59,427.054609
-1151.20153,59,433.645175
-1151.20153,59,440.310472
-1146.20153,59,448.270394
-1146.20153,59,455.120148
-1146.20153,59,462.157688
-1151.20153,59,469.984129
-1151.20153,59,476.752145
-1151.20153,59,483.461989
-1146.20153,59,491.561755
-1146.20153,59,498.519216
-1146.20153,59,505.152016
-1151.20153,59,513.156587
-1151.20153,59,520.27462
-1151.20153,59,527.134117
-1146.20153,59,535.080246
-1146.20153,59,541.786824
-1146.20153,59,548.712466
-1081.695641,59,556.851725
-1081.695641,59,563.914677
-1081.695641,59,570.690332
-1151.20153,59,578.678735
-1151.20153,59,585.671755
-1151.20153,59,593.115809
-1151.20153,59,601.354904
-1151.20153,59,609.074926
-1151.20153,59,615.744593
-823.859862,59,624.233208
-823.859862,59,631.072441
-823.859862,59,637.807152
-1014.181615,59,646.266597
-1014.181615,59,653.762603
-1014.181615,59,660.547228
-837.721121,59,668.270722
-837.721121,59,674.811399
-837.721121,59,681.387162
-822.683603,59,689.144305
-822.683603,59,695.930431
-822.683603,59,702.623587
-818.378047,59,710.731408
-818.378047,59,717.252365
-818.378047,59,723.849221
-1138.65071,59,731.752995
-1138.65071,59,738.304223
-1138.65071,59,744.799516
-902.671816,59,752.956787
-902.671816,59,759.848127
-902.671816,59,766.621965
-818.378047,59,774.45491
-818.378047,59,781.381083
-818.378047,59,788.177921
-902.304898,59,796.263674
-902.304898,59,802.994297
-902.304898,59,810.154319
-822.683603,59,818.280447
-822.683603,59,825.334492
-822.683603,59,832.367871
-841.11633,59,840.852985
-841.11633,59,847.896823
-841.11633,59,855.05702
-840.61633,59,863.677203
-840.61633,59,870.285146
-840.61633,59,877.341962
-837.832311,59,885.794065
-837.832311,59,892.433397
-837.832311,59,899.032614
-1055.562418,59,907.223131
-1055.562418,59,914.376683
-1055.562418,59,921.351224
-1059.862456,59,929.710421
-1059.862456,59,937.009346
-1059.862456,59,943.833116
-1073.173856,59,952.502055
-1073.173856,59,960.103615
-1073.173856,59,967.131644
-1128.89894,59,974.992784
-1128.89894,59,982.120846
-1128.89894,59,989.28848
-1158.585524,59,997.141353
-1158.585524,59,1004.111825
-1158.585524,59,1010.723523
-1059.862456,59,1018.45164
-1059.862456,59,1025.076105
-1059.862456,59,1031.809451
-1059.862456,59,1040.220158
-1059.862456,59,1047.554024
-1059.862456,59,1054.308594
-1049.040516,59,1062.25345
-1049.040516,59,1068.950886
-1049.040516,59,1076.217884
-976.00606,59,1084.180045
-976.00606,59,1091.251045
-976.00606,59,1097.994513
-900.245117,59,1106.002312
-900.245117,59,1113.613897
-900.245117,59,1120.905539
-1063.104411,59,1129.353581
-1063.104411,59,1136.031798
-1063.104411,59,1143.000852
-1067.104411,59,1150.918242
-1067.104411,59,1158.064774
-1067.104411,59,1165.424583
-867.445901,59,1173.332722
-867.445901,59,1180.147166
-867.445901,59,1186.619454
-842.492396,59,1194.309781
-842.492396,59,1200.807727
-842.492396,59,1207.472935
