#{"t_start": 1654182247.5087714, "env_id": null}
r,l,t
-2962.0,119,15.424442
-3432.0,119,31.956309
-3897.0,119,49.447163
-3407.0,119,66.218173
-3364.0,119,83.01259
-3397.0,119,98.532981
-3559.0,119,116.014319
-3627.0,119,132.867933
-3357.0,119,148.279419
-3686.0,119,164.524242
-3330.0,119,180.991248
-3122.0,119,196.428273
-3887.0,119,212.980596
-3151.0,119,229.099023
-3513.0,119,245.585707
-3310.0,119,261.451051
-3375.0,119,276.451274
-3002.0,119,291.918638
-3888.0,119,308.815551
-3472.0,119,325.97176
-3312.0,119,341.647142
-3711.0,119,358.305562
-3085.0,119,372.830224
-3232.0,119,388.752282
-3321.0,119,403.766996
-3481.0,119,419.993063
-3692.0,119,437.166997
-3495.0,119,454.022407
-3733.0,119,470.936403
-3172.0,119,486.741601
-3706.0,119,504.014788
-3578.0,119,519.863482
-3358.0,119,535.807105
-4067.0,119,552.667669
-4146.0,119,569.767358
-3995.0,119,586.039748
-3458.0,119,602.271644
-3593.0,119,618.560574
-3713.0,119,636.003282
-3257.0,119,651.75397
-3717.0,119,668.612487
-4380.0,119,686.705938
-3762.0,119,703.278327
-3830.0,119,720.559949
-3314.0,119,736.80368
-3015.0,119,751.789561
-3554.0,119,768.729489
-3479.0,119,784.507237
-4111.0,119,801.668659
-3373.0,119,818.424289
-3324.0,119,834.602654
-3405.0,119,850.653472
-3074.0,119,865.535379
-3697.0,119,882.198426
-3935.0,119,898.694064
-3653.0,119,914.735163
-3890.0,119,931.203651
-3360.0,119,948.049168
-3836.0,119,965.458487
-3547.0,119,982.178668
-3540.0,119,998.351466
-3331.0,119,1014.530495
-3633.0,119,1031.096151
-3686.0,119,1047.95516
-3546.0,119,1065.309048
-3590.0,119,1081.516769
-3531.0,119,1097.973996
-3597.0,119,1114.959291
-3707.0,119,1131.911091
-3074.0,119,1147.716632
-3641.0,119,1164.111897
-3613.0,119,1180.496359
-3334.0,119,1197.077154
-3908.0,119,1214.380181
-3141.0,119,1230.840143
-3918.0,119,1248.659564
-3471.0,119,1265.875071
-3399.0,119,1282.296083
-3351.0,119,1298.730346
-3400.0,119,1314.538464
-3625.0,119,1331.335491
-3524.0,119,1348.479921
-4200.0,119,1366.163634
-3273.0,119,1382.41732
-3784.0,119,1400.439821
-3747.0,119,1417.328629
-3257.0,119,1433.147409
-3987.0,119,1450.47476
-3192.0,119,1466.456152
-3662.0,119,1484.123059
-3807.0,119,1501.282241
-3093.0,119,1517.053075
-3364.0,119,1532.441154
-3782.0,119,1549.882796
-3731.0,119,1566.198118
-3449.0,119,1582.74432
-3276.0,119,1597.964285
-3697.0,119,1614.562459
-3810.0,119,1632.735227
-3589.0,119,1650.181574
-3360.0,119,1666.395824
-3710.0,119,1684.016565
-3884.0,119,1700.531593
-3898.0,119,1718.757396
-3418.0,119,1735.312183
-2905.0,119,1750.370463
-3363.0,119,1765.905786
-3396.0,119,1782.544704
-3401.0,119,1799.213702
-3672.0,119,1815.380664
-3828.0,119,1832.569912
-3454.0,119,1848.874964
-3058.0,119,1864.076747
-3529.0,119,1880.478984
-3717.0,119,1896.807793
-3740.0,119,1914.087376
-3723.0,119,1931.238866
-4212.0,119,1949.689427
-3592.0,119,1966.701327
-3423.0,119,1982.857817
-3554.0,119,1999.565184
-3059.0,119,2015.080483
-3233.0,119,2031.610818
-4060.0,119,2049.425575
-3465.0,119,2065.310776
-3776.0,119,2082.108275
-3166.0,119,2097.963762
-3665.0,119,2115.499627
-3443.0,119,2132.042224
-3576.0,119,2148.612764
-3736.0,119,2164.980351
-3482.0,119,2181.998199
-3385.0,119,2198.212674
-3266.0,119,2213.634633
-3575.0,119,2230.319765
-3718.0,119,2247.557254
-3790.0,119,2264.094755
-3269.0,119,2279.867709
-3595.0,119,2297.681588
-3816.0,119,2314.606171
-3166.0,119,2330.016558
-3615.0,119,2347.72325
-3282.0,119,2363.39688
-3972.0,119,2381.334604
-3181.0,119,2397.435794
-3974.0,119,2415.396069
-3970.0,119,2432.889594
-3162.0,119,2448.903254
-3456.0,119,2465.4342
-3163.0,119,2481.564388
-3623.0,119,2498.152173
-3586.0,119,2514.845759
-3772.0,119,2532.257989
-3415.0,119,2548.899415
-3634.0,119,2566.482942
-3525.0,119,2583.238821
-3468.0,119,2599.259918
-3181.0,119,2615.758719
-3221.0,119,2630.930879
-3297.0,119,2647.327831
-3933.0,119,2665.032327
-3223.0,119,2681.425555
-3757.0,119,2698.678099
-3708.0,119,2715.015446
-3527.0,119,2731.700866
-3737.0,119,2748.006242
-3833.0,119,2764.823728
-3288.0,119,2781.314924
-3620.0,119,2798.334688
-3659.0,119,2814.274441
-3462.0,119,2830.076903
-3313.0,119,2846.308028
-3717.0,119,2863.816744
-3876.0,119,2880.577639
-3052.0,119,2894.828447
-3600.0,119,2911.670182
-3576.0,119,2928.70968
-3778.0,119,2945.985658
-3512.0,119,2963.099198
-3525.0,119,2979.989815
-3289.0,119,2996.6216
-3960.0,119,3013.379917
-3489.0,119,3029.742963
-3739.0,119,3046.495824
-4023.0,119,3064.428312
-3657.0,119,3081.596841
-3656.0,119,3098.693809
-3440.0,119,3114.701985
-3459.0,119,3131.233493
-3508.0,119,3147.848389
-4090.0,119,3165.443091
-3368.0,119,3180.929076
-3720.0,119,3199.470572
-3433.0,119,3215.057029
-4485.0,119,3233.087091
-4003.0,119,3250.366665
-3425.0,119,3266.913493
-3316.0,119,3283.208343
-3689.0,119,3300.133682
-3237.0,119,3315.837849
-3624.0,119,3332.041404
-3231.0,119,3348.413816
-3369.0,119,3364.179389
-3722.0,119,3380.678594
-3625.0,119,3398.787712
-2946.0,119,3414.895315
-3545.0,119,3432.542456
-3431.0,119,3448.215081
-3675.0,119,3466.613694
-3330.0,119,3482.89264
-3638.0,119,3499.357461
-3730.0,119,3516.642377
-3777.0,119,3533.554829
-3780.0,119,3550.975399
-3265.0,119,3567.426171
-3194.0,119,3583.551019
-4231.0,119,3601.530065
-3654.0,119,3618.038149
-3209.0,119,3633.775289
-3626.0,119,3650.266673
-3349.0,119,3665.037788
-3374.0,119,3681.234607
-3465.0,119,3698.259436
-3924.0,119,3714.835078
-4140.0,119,3732.794701
-3440.0,119,3747.92871
-3611.0,119,3764.669027
-3303.0,119,3780.573645
-3526.0,119,3796.793845
-3283.0,119,3812.881465
-3497.0,119,3829.890847
-3728.0,119,3846.695372
-3199.0,119,3863.127469
-3535.0,119,3881.1418
-3351.0,119,3898.271549
-3642.0,119,3916.111398
-3360.0,119,3931.470337
-3619.0,119,3948.516561
-4269.0,119,3966.284191
-3442.0,119,3982.411331
-3624.0,119,3999.785482
-4258.0,119,4017.749516
-3490.0,119,4034.143473
-3422.0,119,4050.040303
-3687.0,119,4067.26217
-3025.0,119,4082.496396
-3074.0,119,4098.943224
-3082.0,119,4115.001103
-3474.0,119,4132.728159
-3587.0,119,4149.976915
-3079.0,119,4166.144406
-3210.0,119,4182.05524
-3688.0,119,4198.890612
-3306.0,119,4215.347912
-3765.0,119,4232.469368
-3727.0,119,4249.92284
-3325.0,119,4265.574913
-3617.0,119,4281.704251
-3862.0,119,4299.461481
-3860.0,119,4316.78233
-3652.0,119,4333.693233
-3628.0,119,4350.436393
-3560.0,119,4367.826467
-3497.0,119,4384.214837
-3419.0,119,4400.450403
-3403.0,119,4416.712725
-3951.0,119,4434.478475
-3969.0,119,4451.99071
-3429.0,119,4468.357467
-3474.0,119,4485.403901
-3342.0,119,4500.278954
-3649.0,119,4516.119429
-3546.0,119,4531.837711
-3217.0,119,4548.101339
-3262.0,119,4563.464695
-3460.0,119,4578.900189
-3353.0,119,4594.743389
-3984.0,119,4610.853905
-3400.0,119,4626.89588
-3196.0,119,4643.000753
-3394.0,119,4660.282974
-4533.0,119,4678.63694
-3948.0,119,4694.695087
-3181.0,119,4710.532262
-3319.0,119,4727.714798
-3449.0,119,4744.587326
-3949.0,119,4762.240573
-4027.0,119,4780.365277
-3409.0,119,4795.930368
-3473.0,119,4812.002454
-3458.0,119,4827.853397
-3497.0,119,4843.755985
-3552.0,119,4860.684886
-3385.0,119,4876.700443
-3343.0,119,4893.925748
-3361.0,119,4910.060184
-3544.0,119,4925.594756
-3263.0,119,4941.200678
-3715.0,119,4958.163341
-3749.0,119,4975.335782
-3657.0,119,4992.480098
-3306.0,119,5008.695769
-3236.0,119,5024.344301
-3644.0,119,5041.150943
-3590.0,119,5057.177757
-3686.0,119,5073.45553
-3376.0,119,5089.379469
-3446.0,119,5105.081166
-3715.0,119,5121.931537
-3444.0,119,5138.265999
-3353.0,119,5154.77001
-3425.0,119,5170.859814
-3757.0,119,5187.648553
-3542.0,119,5203.955968
-3289.0,119,5219.743836
-3377.0,119,5235.570644
-3462.0,119,5252.163224
-4223.0,119,5270.110714
-3584.0,119,5286.468347
-2989.0,119,5301.336094
-3512.0,119,5317.580028
-3582.0,119,5334.813973
-3435.0,119,5350.741586
-3631.0,119,5368.255948
-4168.0,119,5385.783037
-3901.0,119,5403.004458
-3527.0,119,5418.794085
-3750.0,119,5434.748509
-3216.0,119,5450.306761
-3344.0,119,5466.0923
-3521.0,119,5483.226287
-3685.0,119,5499.894775
-3139.0,119,5515.874136
-3637.0,119,5532.951532
-4192.0,119,5550.352363
-3494.0,119,5567.377637
-3729.0,119,5584.961704
-3472.0,119,5601.405137
-3492.0,119,5617.965414
-3388.0,119,5634.640163
-3363.0,119,5649.859644
-4037.0,119,5667.927974
-3390.0,119,5683.974776
-3456.0,119,5700.299555
-4125.0,119,5717.490627
-3659.0,119,5733.41574
-3639.0,119,5750.082711
-3328.0,119,5766.703651
-3800.0,119,5783.746957
-3393.0,119,5800.51404
-3533.0,119,5817.212667
-4152.0,119,5835.150924
-3512.0,119,5851.243179
-3840.0,119,5868.989175
-3117.0,119,5883.887751
-3367.0,119,5899.851517
-3864.0,119,5916.263451
-3639.0,119,5932.630322
-3285.0,119,5948.24198
-3289.0,119,5963.858813
-4262.0,119,5980.199363
-3309.0,119,5996.267575
-3148.0,119,6011.136392
-3207.0,119,6026.790338
-3524.0,119,6043.460151
-3675.0,119,6059.956588
-3504.0,119,6077.359118
-3508.0,119,6094.27075
-3956.0,119,6111.48278
-2931.0,119,6127.814046
-3408.0,119,6143.43381
-3427.0,119,6160.346753
-3555.0,119,6176.423496
-3210.0,119,6192.929562
-3643.0,119,6209.486403
-3518.0,119,6224.620721
-3781.0,119,6241.733653
-3318.0,119,6257.543436
-4063.0,119,6274.545878
-3072.0,119,6290.892198
-3793.0,119,6308.767184
-3536.0,119,6324.259244
-3118.0,119,6339.611218
-3245.0,119,6355.269641
-3470.0,119,6371.529746
-3495.0,119,6388.149776
-3201.0,119,6403.847047
-3847.0,119,6421.147322
-3644.0,119,6438.284144
-3569.0,119,6454.369965
-3671.0,119,6471.33106
-3197.0,119,6486.786489
-3193.0,119,6503.237637
-3603.0,119,6520.023038
-3287.0,119,6535.893724
-3016.0,119,6551.780316
-3734.0,119,6568.99032
-3525.0,119,6585.207216
-3476.0,119,6601.489335
-3245.0,119,6617.431854
-3121.0,119,6632.762172
-3498.0,119,6649.663241
-3398.0,119,6665.433773
-3557.0,119,6682.999337
-3584.0,119,6699.221712
-3682.0,119,6716.437985
-4056.0,119,6733.742075
-3911.0,119,6751.715544
-3523.0,119,6768.683836
-4012.0,119,6786.2714
-3472.0,119,6802.616999
-4083.0,119,6819.970725
-3539.0,119,6835.674581
-3844.0,119,6853.584265
-3685.0,119,6870.405087
-3915.0,119,6887.035498
-3673.0,119,6903.800432
-3348.0,119,6920.739809
-3784.0,119,6938.218735
-3383.0,119,6955.665761
-2704.0,119,6970.673562
-3442.0,119,6986.586552
-3393.0,119,7001.961132
-3104.0,119,7018.02283
