#{"t_start": 1654138253.1689718, "env_id": null}
r,l,t
-3324.0,119,26.552879
-4113.0,119,48.48378
-3300.0,119,67.126186
-3668.0,119,87.315585
-3833.0,119,108.131479
-3648.0,119,128.887866
-3141.0,119,148.838757
-3624.0,119,169.381143
-3844.0,119,188.464533
-3200.0,119,207.094426
-3461.0,119,226.812807
-3561.0,119,245.682196
-4165.0,119,266.28857
-3363.0,119,285.422952
-3365.0,119,305.278331
-3908.0,119,326.249198
-3917.0,119,347.086065
-3809.0,119,373.374896
-3494.0,119,397.892736
-3494.0,119,422.352576
-3494.0,119,447.64141
-3494.0,119,472.698244
-3494.0,119,498.345573
-3494.0,119,522.184913
-3494.0,119,548.517735
-3494.0,119,575.623053
-3494.0,119,600.54088
-3494.0,119,624.00272
-3494.0,119,648.139488
-3494.0,119,671.364154
-3494.0,119,697.236798
-3494.0,119,724.890436
-3494.0,119,751.541102
-3494.0,119,776.272305
-3494.0,119,802.183007
-3494.0,119,826.334739
-3494.0,119,854.999438
-3494.0,119,880.001671
-3494.0,119,904.589927
-3494.0,119,929.81368
-3494.0,119,955.236932
-3494.0,119,983.460171
-3494.0,119,1011.159919
-3494.0,119,1035.580704
-3494.0,119,1059.662988
-3494.0,119,1083.271789
-3494.0,119,1107.196086
-3494.0,119,1133.576365
-3494.0,119,1157.364166
-3494.0,119,1180.666477
-3494.0,119,1204.647784
-3494.0,119,1229.927085
-3494.0,119,1257.210367
-3494.0,119,1283.887158
-3494.0,119,1309.767959
-3494.0,119,1334.624265
-3494.0,119,1359.25458
-3494.0,119,1383.887393
-3494.0,119,1408.560707
-3494.0,119,1434.838009
-3494.0,119,1460.03832
-3494.0,119,1484.460639
-3494.0,119,1509.036957
-3494.0,119,1533.695277
-3494.0,119,1559.355083
-3494.0,119,1583.902161
-3494.0,119,1608.54648
-3494.0,119,1633.102301
-3494.0,119,1660.529103
-3494.0,119,1685.856915
-3494.0,119,1711.734725
-3494.0,119,1736.519545
-3494.0,119,1760.570869
-3494.0,119,1784.983691
-3494.0,119,1810.026513
-3494.0,119,1835.587323
-3494.0,119,1860.153646
-3494.0,119,1884.757969
-3494.0,119,1910.755782
-3494.0,119,1936.600596
-3494.0,119,1962.38291
-3494.0,119,1987.077234
-3494.0,119,2011.903053
-3494.0,119,2036.658875
-3494.0,119,2061.467197
-3494.0,119,2086.281018
-3494.0,119,2113.524819
-3494.0,119,2138.544641
-3494.0,119,2163.247465
-3494.0,119,2187.863287
-3494.0,119,2213.284104
-3494.0,119,2238.107424
-3494.0,119,2262.918747
-3494.0,119,2287.806566
-3494.0,119,2312.543388
-3494.0,119,2337.218712
-3494.0,119,2361.956032
-3494.0,119,2386.468855
-3494.0,119,2410.557683
-3494.0,119,2435.026006
-3494.0,119,2460.603321
-3494.0,119,2485.304644
-3494.0,119,2509.859968
-3494.0,119,2536.756276
-3494.0,119,2561.355602
-3494.0,119,2586.113428
-3494.0,119,2610.923749
-3494.0,119,2635.566075
-3494.0,119,2660.559395
-3494.0,119,2685.080221
-3494.0,119,2710.508335
-3494.0,119,2735.427448
-3494.0,119,2760.239538
-3494.0,119,2784.7471
-3494.0,119,2809.591645
-3494.0,119,2834.490665
-3494.0,119,2859.349669
-3494.0,119,2884.178156
-3494.0,119,2910.375626
-3494.0,119,2935.151084
-3494.0,119,2961.433026
-3494.0,119,2986.723459
-3494.0,119,3011.75188
-3494.0,119,3036.372798
-3494.0,119,3061.249204
-3494.0,119,3087.887094
-3494.0,119,3112.262488
-3494.0,119,3136.932374
-3494.0,119,3161.554257
-3494.0,119,3186.30063
-3494.0,119,3210.985502
-3494.0,119,3235.77937
-3494.0,119,3260.787229
-3494.0,119,3285.30359
-3494.0,119,3309.996946
-3494.0,119,3334.599804
-3494.0,119,3359.142152
