#{"t_start": 1653573153.4861283, "env_id": null}
r,l,t
-1252.598342,89,17.667002
-1374.175055,89,36.1205
-1076.727159,89,53.309501
-1462.699549,89,72.566997
-1545.261604,89,90.938495
-1470.699549,89,108.580997
-1428.699549,89,126.472994
-1464.699549,89,143.623498
-1460.699549,89,160.007029
-1458.699549,89,178.829991
-1456.699549,89,196.604992
-1437.662605,89,215.479489
-1458.699549,89,232.732988
-1458.699549,89,249.619486
-1458.699549,89,265.620483
-1458.699549,89,281.885485
-1458.699549,89,298.043481
-1458.699549,89,314.037477
-1458.699549,89,331.456477
-1458.699549,89,347.731474
-1458.699549,89,363.918974
-1458.699549,89,381.164974
-1458.699549,89,397.278992
-1458.699549,89,413.4425
-1458.699549,89,429.434993
-1458.699549,89,445.370995
-1458.699549,89,461.552997
-1458.699549,89,477.862489
-1458.699549,89,493.990496
-1458.699549,89,510.107991
-1458.699549,89,526.390999
-1458.699549,89,542.452494
-1458.699549,89,558.435492
-1458.699549,89,574.52699
-1458.699549,89,590.579988
-1458.699549,89,606.555991
-1458.699549,89,622.516488
-1458.699549,89,638.464488
-1458.699549,89,654.936488
-1458.699549,89,671.002488
-1398.1515,89,687.089987
-1343.960064,89,702.656511
-1345.792655,89,718.016987
-1445.100585,89,734.855486
-1444.125375,89,751.836991
-1296.603754,89,768.764984
-1403.881789,89,785.159987
-1405.8899,89,801.813986
-1394.578592,89,818.420486
-1393.942061,89,834.995485
-1410.131789,89,851.676486
-1403.631789,89,868.216987
-1445.100585,89,885.316016
-1445.100585,89,901.996485
-1445.100585,89,918.893486
-1445.100585,89,935.911986
-1445.100585,89,952.765984
-1445.100585,89,970.429492
-1445.100585,89,987.162501
-1445.100585,89,1004.129487
-1445.100585,89,1021.081982
-1445.100585,89,1037.993483
-1445.100585,89,1055.000981
-1445.100585,89,1071.787482
-1445.100585,89,1088.642981
-1445.100585,89,1105.794985
-1445.100585,89,1122.67248
-1445.100585,89,1139.580983
-1445.100585,89,1156.442479
-1445.100585,89,1173.30098
-1445.100585,89,1190.301979
-1445.100585,89,1207.094479
