#{"t_start": 1653573130.8973873, "env_id": null}
r,l,t
-327.418651,89,10.599138
-1163.627089,89,25.629743
-1071.447805,89,42.217741
-1443.373914,89,61.019743
-1052.620464,89,77.344763
-1053.976517,89,94.468745
-600.563743,89,110.347737
-713.314741,89,125.834239
-543.941234,89,141.029736
-758.399367,89,156.147236
-626.149949,89,170.965236
-1017.789375,89,186.528743
-519.140476,89,201.854236
-783.645635,89,217.083732
-560.057665,89,233.392266
-876.487127,89,248.49923
-1052.997679,89,263.707235
-977.480218,89,278.902726
-847.83872,89,293.130725
-995.534861,89,307.978223
-1150.264322,89,321.967722
-533.515079,89,335.79822
-482.799747,89,350.259217
-422.351557,89,365.321217
-733.242615,89,379.601753
-735.725,89,394.507716
-516.120816,89,408.758714
-1016.13693,89,422.648735
-625.458874,89,436.326231
-707.327778,89,449.982232
-741.645953,89,463.643231
-573.912302,89,477.703739
-633.973005,89,491.950732
-670.610825,89,505.941236
-1081.393416,89,520.460232
-663.952381,89,533.597232
-417.789442,89,547.922736
-685.205962,89,561.781738
-413.579365,89,575.124732
-558.137049,89,589.156731
-592.556831,89,602.487232
-567.3836,89,616.415229
-562.412293,89,630.064238
-663.498764,89,643.60923
-964.618748,89,657.730234
-814.215479,89,671.58073
-570.799603,89,687.107731
-750.549582,89,700.68273
-642.491516,89,714.459729
-492.095238,89,728.125733
-1047.29351,89,742.440229
-812.753597,89,756.442728
-397.07619,89,769.947728
-682.511422,89,784.239228
-445.007359,89,797.553228
-474.744844,89,810.459727
-843.794486,89,824.38773
-446.439141,89,837.682227
-922.474507,89,851.795228
-559.493626,89,865.344227
-552.07619,89,879.089728
-646.610162,89,892.689226
-762.301948,89,906.050724
-810.542274,89,920.043726
-317.663095,89,932.918225
-490.739683,89,946.438725
-656.336741,89,959.729726
-194.816667,89,972.599725
-612.612302,89,986.526725
-502.599098,89,1002.195724
-998.108394,89,1016.205223
-270.7,89,1028.873225
-328.883333,89,1042.583224
-292.209524,89,1055.488731
-663.629762,89,1069.079722
-705.708505,89,1083.066723
-418.972558,89,1096.160722
-556.317063,89,1109.963223
-952.081674,89,1124.330222
-358.988095,89,1137.437222
