#{"t_start": 1653616117.6084905, "env_id": null}
r,l,t
-1539.464529,89,13.626001
-1306.388095,89,27.239502
-1376.819679,89,40.918004
-1554.101288,89,56.353005
-2208.057959,89,71.662505
-1517.880912,89,86.111508
-1525.785109,89,101.327005
-1299.916638,89,116.016009
-1406.87236,89,131.095204
-1345.51044,89,143.6157
-1433.271176,89,156.116699
-1448.023301,89,168.434157
-1423.129115,89,180.348239
-1275.624206,89,192.055752
-1264.071825,89,203.130722
-1389.080557,89,215.13872
-1287.992388,89,226.713932
-1251.073187,89,238.818928
-1463.104401,89,250.870691
-1378.946411,89,262.821625
-1404.979563,89,275.464409
-1755.606801,89,287.958241
-1392.038984,89,299.805434
-1498.440914,89,312.154475
-1479.33087,89,324.438452
-1404.999134,89,336.677504
-1568.811111,89,348.112999
-1338.046752,89,359.877813
-1358.066663,89,370.95487
-1473.505465,89,382.90692
-1474.3887,89,394.887354
-1447.010949,89,406.614038
-1718.731801,89,418.553833
-1678.972589,89,432.475331
-1527.272754,89,446.518994
-1366.228283,89,458.430868
-1225.964484,89,469.42129
-1372.555754,89,480.881699
-1322.828115,89,494.296106
-1436.083947,89,506.628938
-1309.454817,89,518.369661
-1550.300297,89,529.468777
-1571.164861,89,540.452082
-1255.85285,89,551.883296
-1214.966312,89,563.414445
-1619.859372,89,576.192055
-1276.761706,89,590.64567
-1424.832199,89,605.351787
-1311.372698,89,619.030887
-1457.77494,89,631.900969
-1540.736393,89,645.296061
-1248.073001,89,658.202641
-1643.34508,89,671.261717
-1675.390459,89,684.957793
-1343.663718,89,697.893361
-1341.80119,89,709.601913
-1339.912617,89,721.964975
-1642.675304,89,734.718033
-1395.442086,89,747.452587
-1633.758719,89,760.082138
-1469.194666,89,772.857687
-1404.801371,89,785.004229
-1961.292993,89,798.193775
-1341.000649,89,811.206316
-1314.709718,89,823.788857
-1376.182914,89,836.038389
-1546.060631,89,849.002926
-1251.661054,89,861.324458
-1199.445833,89,873.550988
-1420.165111,89,886.402514
-1253.801096,89,898.381541
-1327.853069,89,908.970976
-1803.437196,89,920.29695
-1283.175801,89,931.114382
-1205.88835,89,941.460434
-1428.456223,89,952.268893
-1364.092298,89,963.476038
-1479.579534,89,974.656811
-1266.053585,89,985.839126
-1326.264802,89,996.275884
-1599.880459,89,1007.834551
-1458.655546,89,1018.437766
-1436.878232,89,1028.808518
-1357.039564,89,1039.58557
-1340.852839,89,1050.602549
-1204.772672,89,1061.136941
-1504.523773,89,1072.101994
-1410.535399,89,1082.798281
-1339.944102,89,1093.282104
-1608.238929,89,1104.268939
-1443.022653,89,1114.644362
-1403.097726,89,1125.709827
-1306.715768,89,1136.469992
-1226.958859,89,1147.262424
-1528.126568,89,1158.38918
-1620.483391,89,1169.981289
-1212.984769,89,1180.457422
-1462.524816,89,1190.990881
-1469.089082,89,1202.798691
-1617.04797,89,1213.433878
-1310.572151,89,1223.917063
-1306.904058,89,1234.395876
-1506.403414,89,1245.358066
-1332.824212,89,1256.44602
-1259.59062,89,1267.60166
-1139.176984,89,1278.018039
-1395.641769,89,1289.083866
-1282.56461,89,1300.378447
-1699.291232,89,1311.937481
-1408.144551,89,1322.577524
-1351.099603,89,1333.409526
-1611.190511,89,1344.444965
-1597.564064,89,1355.538261
-1532.083062,89,1367.063143
-1449.595011,89,1377.694808
-1291.474802,89,1388.539721
-1465.228271,89,1400.125923
-1353.702338,89,1411.020028
-1178.172756,89,1421.188592
-1424.852546,89,1432.029439
-1240.021266,89,1442.38112
-1393.731926,89,1453.321553
-1595.056355,89,1464.561844
-1308.830198,89,1475.039434
-1474.812752,89,1486.569952
-1298.921926,89,1497.789103
-1277.080754,89,1508.458712
-1397.93548,89,1519.068024
-1298.882937,89,1529.714157
-1349.015837,89,1540.778272
-1530.222541,89,1551.742707
-1333.960105,89,1563.069422
-1537.179896,89,1573.734702
-1313.586579,89,1583.811163
-1865.12672,89,1595.724431
-2046.551977,89,1607.150757
-1289.891184,89,1618.300868
-1410.494979,89,1628.960957
-1318.553184,89,1639.544043
-1296.218228,89,1650.479831
-1419.399333,89,1661.621245
-1114.999675,89,1672.069319
-1371.353229,89,1682.781394
-1307.148268,89,1693.479764
-1382.628284,89,1704.179026
-1423.230292,89,1714.775127
-1442.656547,89,1725.652735
-1326.882341,89,1736.18583
-1472.601353,89,1747.096732
-1316.205993,89,1757.914393
-1401.6542,89,1768.569986
-1185.428517,89,1779.145273
-1321.993301,89,1790.134317
-1354.383532,89,1800.366147
-1493.511887,89,1810.937724
-1404.952557,89,1821.189756
-1379.48676,89,1831.480302
-1265.053596,89,1842.190807
-1410.247858,89,1853.104321
-1645.413104,89,1863.714124
-1545.348001,89,1874.864077
-1620.557925,89,1885.599605
-1425.431584,89,1895.884446
-1394.65338,89,1907.073446
-1538.319712,89,1917.336421
-1235.786904,89,1927.400003
-1296.619108,89,1937.155915
-1290.796513,89,1947.832873
-1419.704432,89,1957.846416
-1256.674448,89,1967.583766
-1285.26017,89,1977.827936
-1625.876496,89,1988.081336
-1516.972669,89,1998.464806
-1325.86393,89,2008.717796
-1522.978675,89,2018.737273
-1349.710606,89,2028.460353
-1576.829627,89,2038.765009
-1501.03642,89,2049.223066
-1605.283539,89,2059.707117
-1369.603687,89,2069.661108
-1391.935924,89,2079.904875
-1392.345624,89,2089.895695
-1305.820833,89,2099.791973
-1355.727092,89,2109.882294
-1460.399916,89,2120.66821
-1483.238123,89,2130.810862
-1431.988243,89,2141.272093
-1462.283704,89,2151.634097
-1430.927706,89,2161.575431
-1464.296245,89,2172.594054
-1405.935694,89,2182.997561
-1342.931914,89,2194.230745
-1324.762541,89,2207.247785
-1364.889069,89,2218.981828
-1437.72379,89,2230.916322
-1493.643945,89,2243.336781
-1609.934793,89,2254.113846
-1397.183627,89,2265.879786
-1392.200456,89,2276.335647
-1225.309199,89,2286.013691
-1353.887688,89,2296.320338
-1339.951912,89,2305.985328
-1300.308442,89,2316.12888
-1321.35314,89,2327.845381
-1887.174323,89,2338.759241
