#{"t_start": 1653967038.6471078, "env_id": null}
r,l,t
-9969.0,179,41.493221
-9704.0,179,72.685627
-9800.0,179,104.303022
-10327.0,179,133.169059
-10257.0,179,167.917679
-10076.0,179,201.94371
-9359.0,179,229.417422
-9057.0,179,256.693637
-9738.0,179,287.190843
-9980.0,179,319.713542
-9879.0,179,348.208302
-9507.0,179,378.299086
-9705.0,179,409.040388
-8593.0,179,437.780722
-10077.0,179,470.49453
-9456.0,179,498.902388
-9800.0,179,529.207741
-9467.0,179,555.715663
-9807.0,179,586.067505
-10399.0,179,622.203365
-9468.0,179,655.272253
-10010.0,179,686.678646
-9797.0,179,717.764052
-9549.0,179,751.763595
-10485.0,179,782.44151
-9446.0,179,815.960922
-9799.0,179,850.794328
-9330.0,179,877.570266
-9640.0,179,906.183771
-10454.0,179,935.470704
-9730.0,179,964.607641
-9751.0,179,995.348574
-9403.0,179,1025.903013
-9736.0,179,1057.145454
-10495.0,179,1088.102884
-9715.0,179,1118.696827
-9398.0,179,1149.05927
-9608.0,179,1178.801216
-9428.0,179,1209.140664
-9922.0,179,1241.499102
-10598.0,179,1273.072241
-9846.0,179,1302.445188
-10222.0,179,1330.652638
-10152.0,179,1361.324087
-11508.0,179,1394.26303
-10303.0,179,1423.74098
-9942.0,179,1454.22993
-10097.0,179,1488.786374
-9911.0,179,1520.276315
-9647.0,179,1548.724691
-9724.0,179,1576.939146
-11187.0,179,1608.223094
-8398.0,179,1633.114937
-10323.0,179,1663.153888
-9818.0,179,1692.865865
-9816.0,179,1721.839027
-9577.0,179,1750.707481
-9939.0,179,1787.041929
-9010.0,179,1821.186365
-9870.0,179,1858.775797
-10090.0,179,1891.590241
-9412.0,179,1923.877688
-9141.0,179,1962.808625
-9504.0,179,1995.279572
-8549.0,179,2021.928051
-9592.0,179,2049.770984
-11420.0,179,2082.064341
-10395.0,179,2113.192775
-9336.0,179,2140.19888
-10186.0,179,2173.827428
-10324.0,179,2208.160061
-10726.0,179,2243.01779
-9642.0,179,2274.899662
-9658.0,179,2309.404559
-9991.0,179,2344.793012
-10559.0,179,2380.942017
-9648.0,179,2412.436634
-10235.0,179,2447.191876
-9459.0,179,2483.101527
-9495.0,179,2516.420738
-10168.0,179,2552.416457
-10716.0,179,2586.716712
-10666.0,179,2620.412998
-10082.0,179,2654.822793
-8943.0,179,2688.604616
-9972.0,179,2719.214966
-9558.0,179,2749.19833
-10518.0,179,2780.417209
-9282.0,179,2808.519575
-10196.0,179,2843.39194
-9170.0,179,2875.613832
-10215.0,179,2915.360701
-9584.0,179,2946.28714
-9513.0,179,2975.98052
-9807.0,179,3006.555935
-9745.0,179,3040.519347
-10115.0,179,3072.874262
-9942.0,179,3107.687171
-9342.0,179,3139.849092
-11551.0,179,3176.971504
-8629.0,179,3211.076425
-9715.0,179,3247.570338
-9777.0,179,3279.927775
-9156.0,179,3311.157238
-9930.0,179,3345.478637
-9116.0,179,3373.559076
-9238.0,179,3407.713015
-10368.0,179,3439.900449
-9762.0,179,3469.19552
-9623.0,179,3498.46997
-9539.0,179,3527.413942
-8676.0,179,3559.871848
-9635.0,179,3590.163288
-10440.0,179,3621.722234
