episode,reward,total_throughput
1,-3192.0,49
2,-3918.0,37
3,-3508.0,50
4,-3764.0,42
5,-3283.0,44
6,-3359.0,46
7,-3302.0,50
8,-3481.0,45
9,-3765.0,41
10,-3305.0,43
11,-3371.0,50
12,-3114.0,52
13,-4163.0,42
14,-3717.0,37
15,-3380.0,48
16,-3172.0,49
17,-3756.0,40
18,-3947.0,37
19,-3681.0,39
20,-3648.0,38
21,-3277.0,47
22,-3446.0,49
23,-3621.0,42
24,-3531.0,46
25,-3734.0,37
26,-3320.0,46
27,-3114.0,46
28,-3625.0,44
29,-3560.0,39
30,-3622.0,46
31,-3939.0,39
32,-3985.0,36
33,-3669.0,40
34,-3846.0,35
35,-3114.0,47
36,-2844.0,55
37,-3917.0,41
38,-3724.0,37
39,-3641.0,43
40,-3495.0,48
41,-3393.0,43
42,-2936.0,48
43,-3439.0,42
44,-3556.0,44
45,-3802.0,41
46,-3122.0,45
47,-3483.0,50
48,-4501.0,35
49,-3492.0,41
50,-3287.0,48
51,-3753.0,38
52,-3460.0,44
53,-3223.0,45
54,-3431.0,45
55,-3521.0,46
56,-3207.0,47
57,-3583.0,38
58,-3313.0,47
59,-4255.0,37
60,-3695.0,39
61,-3778.0,39
62,-3362.0,43
63,-3691.0,41
64,-3396.0,46
65,-3568.0,39
66,-3625.0,38
67,-3310.0,49
68,-4036.0,35
69,-3624.0,44
70,-4557.0,33
71,-3725.0,38
72,-3673.0,43
73,-3707.0,44
74,-3399.0,51
75,-3892.0,39
76,-3747.0,40
77,-3432.0,46
78,-3514.0,46
79,-3396.0,48
80,-3138.0,49
81,-3979.0,38
82,-3476.0,42
83,-3161.0,52
84,-3553.0,38
85,-3247.0,46
86,-3459.0,56
87,-4137.0,36
88,-3481.0,43
89,-3307.0,51
90,-3258.0,41
91,-3252.0,44
92,-3821.0,37
93,-4031.0,34
94,-3433.0,43
95,-2890.0,50
96,-3276.0,46
97,-4400.0,33
98,-3122.0,52
99,-3118.0,48
100,-3405.0,51
101,-3518.0,45
102,-3148.0,50
103,-3489.0,44
104,-3730.0,37
105,-3355.0,44
106,-3128.0,48
107,-3787.0,39
108,-3319.0,46
109,-3431.0,40
110,-3302.0,47
111,-3042.0,42
112,-3161.0,53
113,-3879.0,39
114,-3127.0,47
115,-3907.0,36
116,-3266.0,44
117,-3382.0,45
118,-3551.0,40
119,-3986.0,40
120,-3104.0,48
121,-3427.0,46
122,-3400.0,44
123,-3239.0,47
124,-3558.0,39
125,-3269.0,42
126,-3891.0,38
127,-3549.0,43
128,-3665.0,42
129,-2969.0,48
