#{"t_start": 1654003829.239354, "env_id": null}
r,l,t
-5899.0,179,59.659178
-7991.0,179,103.519343
-6283.0,179,148.554593
-7765.0,179,196.853885
-8058.0,179,244.34377
-7773.0,179,290.590252
-7865.0,179,338.578236
-7381.0,179,386.220295
-8428.0,179,440.400834
-6884.0,179,485.578978
-7809.0,179,539.927591
-6637.0,179,589.992245
-6912.0,179,635.831456
-7684.0,179,689.679125
-7431.0,179,741.785823
-8613.0,179,799.017506
-7161.0,179,851.176723
-7006.0,179,903.830457
-8987.0,179,966.681798
-8516.0,179,1026.227371
-8107.0,179,1085.277587
-8931.0,179,1144.544405
-7690.0,179,1198.788858
-9199.0,179,1258.789817
-9245.0,179,1320.094318
-8757.0,179,1378.587385
-8386.0,179,1436.151491
-9169.0,179,1496.808607
-8353.0,179,1554.27126
-8359.0,179,1612.079436
-8171.0,179,1671.785099
-8320.0,179,1728.992795
-8378.0,179,1786.983489
-7667.0,179,1840.728214
-8197.0,179,1892.198458
-8629.0,179,1943.20716
-9128.0,179,1994.286373
-7473.0,179,2043.409603
-8732.0,179,2093.640332
-8260.0,179,2143.695069
-8281.0,179,2193.774814
-9024.0,179,2246.13305
-8706.0,179,2295.570804
-7835.0,179,2344.337561
-7309.0,179,2393.049826
-7937.0,179,2442.654086
-7345.0,179,2485.64391
-6678.0,179,2529.427672
-6761.0,179,2571.341468
-8064.0,179,2616.66225
-7640.0,179,2662.140533
-7418.0,179,2706.997817
-7847.0,179,2750.011611
-6669.0,179,2794.833896
-7801.0,179,2839.538186
-7763.0,179,2882.091488
-9036.0,179,2927.313275
-8096.0,179,2969.916575
-8143.0,179,3015.661863
-9082.0,179,3067.324121
-7719.0,179,3113.725405
-8901.0,179,3165.831686
-8127.0,179,3215.584453
-8222.0,179,3266.21772
-8600.0,179,3317.157479
-8902.0,179,3368.808238
-8994.0,179,3421.944499
-8881.0,179,3473.994747
-8909.0,179,3525.778012
-9044.0,179,3577.858263
-9284.0,179,3630.453014
-8435.0,179,3683.423267
-7795.0,179,3731.602043
-7221.0,179,3776.423836
-7125.0,179,3822.510118
-7377.0,179,3869.3119
-7529.0,179,3916.136184
-7342.0,179,3963.418254
-7384.0,179,4011.010909
-7225.0,179,4056.697898
-7704.0,179,4105.777515
-7038.0,179,4152.435375
-5249.0,179,4197.529419
-7584.0,179,4247.582997
-7710.0,179,4299.400174
-6680.0,179,4349.302977
-6133.0,179,4395.975398
-7503.0,179,4446.785844
-6267.0,179,4494.296362
-5756.0,179,4543.03742
-6978.0,179,4592.795506
-5989.0,179,4640.510135
-5768.0,179,4687.223798
-7312.0,179,4736.250464
-7957.0,179,4784.312149
-7315.0,179,4831.802357
-8209.0,179,4884.355544
-7880.0,179,4935.77625
-8812.0,179,4988.46485
-8482.0,179,5040.799218
-6803.0,179,5086.068253
-8238.0,179,5138.135269
-6443.0,179,5183.693372
-7958.0,179,5236.383454
-7063.0,179,5284.988094
-6710.0,179,5330.051281
-7932.0,179,5380.018452
-7782.0,179,5430.577135
-8745.0,179,5482.314321
-6954.0,179,5528.36055
-8166.0,179,5579.682761
-8817.0,179,5631.410476
-8789.0,179,5682.861699
-8678.0,179,5735.352924
-8881.0,179,5786.795652
-8392.0,179,5836.698395
-8496.0,179,5888.058635
-8213.0,179,5939.574872
-8383.0,179,5990.44162
-8633.0,179,6042.035294
-9179.0,179,6094.928524
-8882.0,179,6146.93536
-9268.0,179,6201.083754
-7722.0,179,6251.981736
-8735.0,179,6303.15827
-8325.0,179,6355.270327
-8529.0,179,6407.284426
-8476.0,179,6458.811552
-8059.0,179,6510.423706
-7284.0,179,6557.336896
-7287.0,179,6604.43461
-8252.0,179,6655.872796
-6370.0,179,6702.404526
-6762.0,179,6750.355256
-7341.0,179,6797.704993
-7734.0,179,6843.041751
-7378.0,179,6890.223996
-7724.0,179,6937.901746
-8335.0,179,6988.459483
-7841.0,179,7036.350449
-7776.0,179,7085.415051
-7186.0,179,7131.018322
-7863.0,179,7178.990145
-8663.0,179,7233.388
-7500.0,179,7280.24394
-7923.0,179,7328.14096
-9309.0,179,7380.877477
-8639.0,179,7433.565536
-8765.0,179,7484.461639
-8308.0,179,7534.232277
-8368.0,179,7586.113422
-9119.0,179,7637.217589
-7393.0,179,7681.92531
-8788.0,179,7733.120002
-8551.0,179,7783.702705
-7712.0,179,7829.700445
-9219.0,179,7884.725639
-8598.0,179,7936.547355
-8876.0,179,7989.584572
-7756.0,179,8034.681835
-7792.0,179,8080.829514
-8952.0,179,8132.3611
-6999.0,179,8175.380439
-9295.0,179,8227.504226
-9561.0,179,8280.362085
-7340.0,179,8325.508596
-7976.0,179,8375.605104
-7051.0,179,8419.896199
-9107.0,179,8471.911762
-9044.0,179,8522.864368
-7709.0,179,8569.805526
-9160.0,179,8622.584662
