#{"t_start": 1654003686.799771, "env_id": null}
r,l,t
-6772.0,179,36.968643
-6364.0,179,65.309253
-5895.0,179,96.444817
-6443.0,179,127.461453
-6510.0,179,160.473658
-5944.0,179,193.235441
-5671.0,179,231.876683
-5840.0,179,274.072948
-5496.0,179,312.088854
-5479.0,179,351.21631
-6478.0,179,393.868768
-5284.0,179,432.761825
-5283.0,179,464.935983
-5529.0,179,502.404116
-5708.0,179,539.166783
-6230.0,179,579.667939
-5701.0,179,619.314126
-5505.0,179,658.448335
-5653.0,179,691.838599
-4784.0,179,725.372874
-6822.0,179,764.031126
-4843.0,179,796.90942
-6472.0,179,837.470679
-5446.0,179,873.168971
-5196.0,179,906.403781
-4978.0,179,940.858093
-5243.0,179,976.403899
-5339.0,179,1011.045719
-4932.0,179,1047.504518
-5666.0,179,1087.318258
-5309.0,179,1126.188106
-5250.0,179,1163.881025
-5795.0,179,1202.558001
-5105.0,179,1238.474042
-4186.0,179,1273.864638
-4954.0,179,1308.393766
-4343.0,179,1338.877967
-4391.0,179,1371.48816
-4539.0,179,1404.147374
-4218.0,179,1436.115609
-4952.0,179,1473.023819
-3846.0,179,1504.265592
-4580.0,179,1535.867867
-4418.0,179,1569.454135
-4689.0,179,1600.738431
-4538.0,179,1635.176721
-4216.0,179,1667.781015
-3942.0,179,1699.395331
-4431.0,179,1732.950137
-4281.0,179,1764.806456
-3909.0,179,1796.039285
-4203.0,179,1828.021604
-4051.0,179,1857.914948
-4032.0,179,1888.913284
-4468.0,179,1920.790625
-3764.0,179,1951.26246
-4022.0,179,1982.169311
-4126.0,179,2013.322646
-4270.0,179,2042.376998
-3874.0,179,2067.063352
-4185.0,179,2096.81118
-4292.0,179,2125.066518
-3917.0,179,2151.930869
-4162.0,179,2182.3747
-3893.0,179,2211.50008
-3980.0,179,2239.2114
-3791.0,179,2266.998253
-3527.0,179,2293.271614
-4205.0,179,2323.299963
-3703.0,179,2350.168325
-3791.0,179,2379.500178
-3964.0,179,2407.631036
-4252.0,179,2438.457382
-3509.0,179,2465.654252
-3481.0,179,2493.849112
-3890.0,179,2521.721475
-3725.0,179,2550.657334
-4001.0,179,2581.444185
-3656.0,179,2609.224054
-3763.0,179,2636.594926
-3540.0,179,2665.685783
-3482.0,179,2691.642157
-3281.0,179,2719.625522
-3295.0,179,2748.013886
-3519.0,179,2775.686754
-3570.0,179,2802.596124
-3523.0,179,2829.182498
-3408.0,179,2854.792375
-3874.0,179,2881.066248
-3344.0,179,2909.55611
-3898.0,179,2939.924967
-3437.0,179,2969.759825
-3266.0,179,2995.292207
-3372.0,179,3020.618089
-2943.0,179,3046.281468
-3637.0,179,3074.594835
-3174.0,179,3098.442226
