episode,reward,total_throughput
1,-3769.0,41
2,-3689.0,41
3,-4089.0,32
4,-3465.0,41
5,-3669.0,42
6,-3871.0,43
7,-3249.0,47
8,-3352.0,46
9,-3587.0,42
10,-3312.0,54
11,-4057.0,38
12,-3182.0,51
13,-3540.0,40
14,-3467.0,47
15,-4083.0,37
16,-3479.0,42
17,-3167.0,46
18,-3757.0,48
19,-4001.0,34
20,-3096.0,47
21,-3043.0,47
22,-3964.0,38
23,-3855.0,39
24,-3499.0,44
25,-3631.0,42
26,-3831.0,37
27,-3488.0,44
28,-3261.0,45
29,-3360.0,48
30,-3940.0,38
31,-4071.0,43
32,-3947.0,38
33,-3724.0,42
34,-3398.0,42
35,-2851.0,55
36,-3593.0,42
37,-3339.0,46
38,-3755.0,43
39,-3477.0,44
40,-3660.0,45
41,-3226.0,51
42,-3300.0,45
43,-4211.0,36
44,-3467.0,43
45,-3515.0,44
46,-3138.0,57
47,-3579.0,44
48,-3622.0,37
49,-3912.0,38
50,-3845.0,43
51,-3889.0,41
52,-3747.0,42
53,-3985.0,38
54,-4107.0,39
55,-3646.0,41
56,-3251.0,48
57,-3080.0,51
58,-3587.0,41
59,-3485.0,44
60,-3573.0,47
61,-2974.0,49
62,-3299.0,43
63,-2994.0,53
64,-3520.0,45
65,-3285.0,43
66,-3634.0,45
67,-3120.0,51
68,-3046.0,46
69,-3319.0,50
70,-3193.0,46
71,-3633.0,42
72,-3752.0,40
73,-3660.0,39
74,-3385.0,46
75,-4197.0,32
76,-3482.0,40
77,-3402.0,49
78,-3362.0,55
79,-4412.0,32
80,-3478.0,42
81,-4389.0,32
82,-3487.0,44
83,-3572.0,39
84,-3857.0,40
85,-3612.0,38
86,-3208.0,47
87,-3371.0,40
88,-2894.0,49
89,-2930.0,46
90,-3186.0,50
91,-3071.0,44
92,-3208.0,50
93,-3408.0,39
94,-3492.0,42
95,-3653.0,44
96,-3937.0,35
97,-3625.0,41
98,-3968.0,39
99,-3532.0,40
100,-3685.0,34
101,-3322.0,41
102,-3512.0,44
103,-3016.0,52
104,-3134.0,47
105,-3287.0,46
106,-3852.0,35
107,-3602.0,41
108,-3109.0,51
109,-3667.0,47
110,-3504.0,40
111,-3396.0,40
112,-3559.0,41
113,-3375.0,38
114,-4409.0,37
115,-3091.0,48
116,-3491.0,40
117,-3361.0,47
118,-3289.0,46
119,-3202.0,50
120,-3656.0,40
121,-3339.0,50
122,-3978.0,34
123,-4053.0,36
124,-3461.0,43
125,-3373.0,45
126,-3410.0,42
127,-3474.0,46
128,-3707.0,38
129,-2933.0,47
130,-3186.0,47
131,-3121.0,42
132,-3040.0,43
133,-3614.0,37
134,-3049.0,50
135,-3101.0,46
136,-3294.0,39
137,-3304.0,51
138,-3146.0,50
139,-3933.0,39
140,-3568.0,41
141,-3336.0,42
142,-3527.0,43
143,-3414.0,42
144,-3074.0,52
145,-3468.0,38
146,-3055.0,52
147,-3180.0,48
148,-3329.0,46
149,-3171.0,48
150,-3536.0,42
151,-3336.0,47
152,-3429.0,43
153,-3668.0,41
154,-2909.0,54
155,-3353.0,44
156,-3577.0,42
157,-3225.0,47
158,-2939.0,46
159,-3651.0,38
160,-3433.0,40
161,-3603.0,35
162,-2787.0,53
163,-2994.0,49
164,-3138.0,40
165,-3190.0,48
166,-3407.0,45
167,-2946.0,48
168,-2821.0,47
