,Rewards,Epsilon
0,85.43333333,1
1,106.5833333,0.999010495
2,90.86666667,0.998021979
3,82.38333333,0.997034451
4,87.61666667,0.996047909
5,96.25,0.995062354
6,75.53333333,0.994077784
7,91,0.993094199
8,86.5,0.992111596
9,82.26666667,0.991129975
10,119,0.990149335
11,105.65,0.989169676
12,105.6666667,0.988190996
13,71.26666667,0.987213294
14,114,0.986236569
15,84.86666667,0.98526082
16,91.56666667,0.984286047
17,111.5833333,0.983312248
18,107.3,0.982339422
19,86.85,0.981367569
20,89.73333333,0.980396687
21,67.35,0.979426775
22,77.01666667,0.978457833
23,71.01666667,0.977489859
24,66.03333333,0.976522853
25,78.71666667,0.975556813
26,99.65,0.974591739
27,74.9,0.973627629
28,92.08333333,0.972664483
29,89.41666667,0.9717023
30,104.6666667,0.970741078
31,88.38333333,0.969780817
32,93.61666667,0.968821516
33,100.1666667,0.967863174
34,95.8,0.96690579
35,86.63333333,0.965949362
36,108.5833333,0.964993891
37,100.7833333,0.964039374
38,85.58333333,0.963085811
39,93,0.962133202
40,119,0.961181545
41,68.11666667,0.960230839
42,74.6,0.959281083
43,117.5,0.958332276
44,90.13333333,0.957384418
45,59.83333333,0.956437507
46,64.56666667,0.955491543
47,94.66666667,0.954546524
48,119,0.953602449
49,61.63333333,0.952659318
50,92.68333333,0.95171713
51,75.55,0.950775884
52,95.08333333,0.949835578
53,77.4,0.948896212
54,85.36666667,0.947957785
55,94.41666667,0.947020296
56,82.05,0.946083745
57,119,0.945148129
58,94,0.944213448
59,105.4166667,0.943279701
60,58.63333333,0.942346888
61,82.53333333,0.941415007
62,77.75,0.940484058
63,77.75,0.939554039
64,85.61666667,0.93862495
65,92.46666667,0.937696789
66,83.26666667,0.936769556
67,88.31666667,0.935843249
68,114,0.934917869
69,119,0.933993413
70,79.63333333,0.933069882
71,87.93333333,0.932147273
72,97.66666667,0.931225587
73,82.1,0.930304822
74,109.6666667,0.929384977
75,82.31666667,0.928466051
76,86.26666667,0.927548044
77,84.36666667,0.926630955
78,78.05,0.925714782
79,114.5,0.924799525
80,73.28333333,0.923885183
81,75.26666667,0.922971755
82,59.44246032,0.922059239
83,94.78333333,0.921147636
84,88.86666667,0.920236944
85,75.5,0.919327162
86,95.58333333,0.918418289
87,90.61666667,0.917510325
88,95.11666667,0.916603268
89,77.83333333,0.915697118
90,89.75,0.914791873
91,106,0.913887534
92,103.6666667,0.912984098
93,65.66666667,0.912081565
94,106.5,0.911179935
95,73.8,0.910279205
96,96.83333333,0.909379376
97,84.68333333,0.908480446
98,77.51666667,0.907582415
99,76.15,0.906685281
100,80.86666667,0.905789044
101,94.55,0.904893703
102,90.66666667,0.903999256
103,90,0.903105704
104,96.08333333,0.902213044
105,68.93333333,0.901321277
106,93.48333333,0.900430402
107,84.36666667,0.899540416
108,81.8,0.89865132
109,63.3,0.897763113
110,76.11666667,0.896875794
111,85.28333333,0.895989361
112,65.53333333,0.895103815
113,100.7833333,0.894219154
114,82.38333333,0.893335376
115,112.8333333,0.892452482
116,66.41904762,0.891570471
117,75.21666667,0.890689341
118,98.5,0.889809092
119,81.9,0.888929723
120,83.91666667,0.888051232
121,84.36666667,0.88717362
122,86.5,0.886296885
123,79.86666667,0.885421026
124,69.03333333,0.884546042
125,114,0.883671934
126,95.33333333,0.882798698
127,93.88333333,0.881926336
128,75.93333333,0.881054845
129,98.7,0.880184226
130,76,0.879314477
131,66.91666667,0.878445597
132,61.88333333,0.877577585
133,64.48333333,0.876710441
134,82.38333333,0.875844164
135,60.73333333,0.874978753
136,76.4,0.874114206
137,84.05,0.873250524
138,86.96666667,0.872387705
139,106.1666667,0.871525748
140,87.61666667,0.870664653
141,79.91666667,0.869804419
142,66.06666667,0.868945044
143,73.56666667,0.868086528
144,80.56666667,0.867228871
145,80.75,0.86637207
146,84.96666667,0.865516126
147,98.66666667,0.864661038
148,72.31666667,0.863806804
149,89.7,0.862953424
150,58.16666667,0.862100897
151,73.55,0.861249222
152,59.93333333,0.860398398
153,93.8,0.859548425
154,79.35,0.858699301
155,71.93333333,0.857851026
156,88.66666667,0.857003598
157,97.98333333,0.856157018
158,71.9,0.855311284
159,82.16666667,0.854466395
160,117.5,0.853622351
161,106,0.85277915
162,82.25,0.851936792
163,115,0.851095277
164,101.05,0.850254602
165,84,0.849414767
166,71.78333333,0.848575772
167,104.3333333,0.847737615
168,89.05,0.846900296
169,77.1,0.846063814
170,81.73333333,0.845228168
171,77.31666667,0.844393358
172,94.58333333,0.843559381
173,97,0.842726239
174,79.91666667,0.841893929
175,60.31666667,0.841062451
176,72.36666667,0.840231804
177,77.2,0.839401987
178,118,0.838572999
179,119,0.83774484
180,86.28333333,0.836917509
181,93.33333333,0.836091005
182,92.05,0.835265327
183,95.43333333,0.834440474
184,73.15,0.833616446
185,90.16666667,0.832793241
186,88.76666667,0.831970859
187,104.5,0.831149299
188,65.4,0.83032856
189,113,0.829508642
190,66.18333333,0.828689543
191,74.33333333,0.827871262
192,79.81666667,0.8270538
193,91.18333333,0.826237154
194,72.6,0.825421325
195,64.15,0.824606311
196,80.33333333,0.823792112
197,84.5,0.822978727
198,67.38333333,0.822166155
199,59.73333333,0.821354394
200,82.83333333,0.820543446
201,87.13333333,0.819733307
202,118.5,0.818923979
203,93.98333333,0.818115459
204,72.48333333,0.817307747
205,82.43333333,0.816500843
206,116.5,0.815694746
207,66.53333333,0.814889453
208,97.55,0.814084966
209,75.63333333,0.813281283
210,94.11666667,0.812478404
211,80.78333333,0.811676326
212,70.5,0.810875051
213,93.15,0.810074576
214,101.6166667,0.809274901
215,62.4,0.808476026
216,73.45,0.807677949
217,75.93333333,0.80688067
218,86.4,0.806084187
219,84.11666667,0.805288501
220,99.91666667,0.80449361
221,70.51666667,0.803699513
222,59.73333333,0.802906211
223,76.93333333,0.802113701
224,78.56666667,0.801321983
225,80.73333333,0.800531057
226,95.16666667,0.799740921
227,70.45,0.798951574
228,74.66666667,0.798163017
229,76.86666667,0.797375248
230,118,0.796588266
231,101.0333333,0.795802071
232,106.6666667,0.795016662
233,63.81666667,0.794232038
234,69.07857143,0.793448198
235,79.85,0.792665141
236,112,0.791882867
237,84.5,0.791101375
238,118,0.790320664
239,63.81666667,0.789540734
240,74.26666667,0.788761582
241,81.3,0.78798321
242,68.13333333,0.787205616
243,90.5,0.786428799
244,99.35,0.785652758
245,93.06666667,0.784877493
246,73.53333333,0.784103003
247,67.05,0.783329287
248,94.9,0.782556344
249,69.3,0.781784174
250,69.75,0.781012775
251,75.1,0.780242148
252,70.41666667,0.779472291
253,99.88333333,0.778703203
254,72.01666667,0.777934884
255,83.18333333,0.777167333
256,86.75,0.776400549
257,71.33333333,0.775634532
258,84.66666667,0.77486928
259,78.68333333,0.774104793
260,73.85,0.77334107
261,58.28333333,0.77257811
262,98.66666667,0.771815913
263,81.46666667,0.771054478
264,87.91666667,0.770293804
265,99.93333333,0.76953389
266,113.5,0.768774736
267,106,0.768016341
268,108.5,0.767258703
269,59.71666667,0.766501823
270,93.3,0.765745699
271,78.71666667,0.764990331
272,103,0.764235718
273,78.6,0.76348186
274,67.01666667,0.762728755
275,58.91666667,0.761976402
276,67.93333333,0.761224801
277,84.18333333,0.760473952
278,75.19285714,0.759723853
279,81.85,0.758974504
280,85.98333333,0.758225904
281,101.1666667,0.757478052
282,79.01666667,0.756730948
283,85.36666667,0.75598459
284,80.56666667,0.755238978
285,98.18333333,0.754494112
286,113.5,0.75374999
287,57.7,0.753006612
288,103.8333333,0.752263976
289,68.9,0.751522083
290,114.5,0.750780932
291,73.61666667,0.750040521
292,87,0.749300851
293,63.41666667,0.748561919
294,71.86666667,0.747823727
295,101.9833333,0.747086272
296,75.13333333,0.746349554
297,113.75,0.745613572
298,84.95,0.744878326
299,59.1,0.744143815
300,74.73333333,0.743410038
301,89.15,0.742676995
302,85.76666667,0.741944684
303,94.66666667,0.741213105
304,67.3,0.740482258
305,104.6333333,0.739752141
306,66.06666667,0.739022753
307,63.06666667,0.738294095
308,87.93333333,0.737566165
309,62.48333333,0.736838962
310,60.1,0.736112487
311,87.63333333,0.735386737
312,79.73333333,0.734661713
313,65.95,0.733937413
314,64.43333333,0.733213838
315,108.1666667,0.732490986
316,92.26666667,0.731768856
317,106.2833333,0.731047448
318,75.11666667,0.730326761
319,107.1666667,0.729606794
320,73.25,0.728887547
321,68.73333333,0.728169018
322,60.65,0.727451208
323,78.33333333,0.726734116
324,79.88333333,0.72601774
325,105.1166667,0.72530208
326,72,0.724587136
327,71.11666667,0.723872906
328,99.6,0.72315939
329,58.16666667,0.722446587
330,58.55,0.721734496
331,58.16666667,0.721023117
332,87.78333333,0.72031245
333,58.16666667,0.719602492
334,74.08333333,0.718893244
335,58.63333333,0.718184705
336,91.63333333,0.717476875
337,100.6333333,0.716769752
338,71.73333333,0.716063335
339,70.18333333,0.715357625
340,82.03333333,0.71465262
341,86.53333333,0.713948319
342,79.93333333,0.713244723
343,62.78333333,0.712541829
344,65.03333333,0.711839639
345,58.16666667,0.71113815
346,58.16666667,0.710437362
347,62.38333333,0.709737275
348,63.36666667,0.709037887
349,58.25,0.708339199
350,61.93333333,0.707641209
351,83.56666667,0.706943916
352,75.2,0.706247321
353,91.5,0.705551421
354,84.21666667,0.704856218
355,86.83333333,0.704161709
356,113.3333333,0.703467894
357,73.88333333,0.702774773
358,106.8333333,0.702082344
359,119,0.701390608
360,84.33333333,0.700699563
361,88.76666667,0.700009208
362,93.98333333,0.699319544
363,75.91666667,0.698630569
364,67.93333333,0.697942283
365,80.5,0.697254684
366,103.95,0.696567773
367,64.01666667,0.695881549
368,119,0.69519601
369,92.68333333,0.694511156
370,90.83333333,0.693826987
371,93.93333333,0.693143502
372,66.03333333,0.6924607
373,71.86666667,0.691778581
374,71.86666667,0.691097143
375,74.06666667,0.690416386
376,95.86666667,0.68973631
377,72.71666667,0.689056913
378,58.16666667,0.688378196
379,65.53333333,0.687700157
380,83.76666667,0.687022795
381,74.41666667,0.686346111
382,67.25,0.685670103
383,77.16666667,0.68499477
384,64.65,0.684320113
385,60.83333333,0.68364613
386,91.43333333,0.68297282
387,91.25,0.682300184
388,66.1,0.68162822
389,57.96666667,0.680956927
390,111,0.680286306
391,64.9,0.679616354
392,90.38333333,0.678947073
393,62.83333333,0.67827846
394,75.28333333,0.677610516
395,72.33333333,0.676943239
396,66.7,0.676276629
397,86.88333333,0.675610685
398,64.6,0.674945407
399,79.96666667,0.674280794
400,56.98333333,0.673616846
401,82.01666667,0.67295356
402,66.35,0.672290938
403,117,0.671628978
404,68.25,0.67096768
405,82.85,0.670307043
406,97.88333333,0.669647066
407,100.4833333,0.668987748
408,97.85,0.66832909
409,61.16666667,0.66767109
410,118.5,0.667013748
411,67.81666667,0.666357062
412,93.5,0.665701033
413,78.13333333,0.66504566
414,78.88333333,0.664390942
415,99.5,0.663736878
416,75.66666667,0.663083468
417,70.13333333,0.662430711
418,73.51666667,0.661778606
419,83.16666667,0.661127153
420,99.75,0.660476352
421,93.43333333,0.6598262
422,108.5,0.659176699
423,71.31666667,0.658527847
424,92.13333333,0.657879643
425,78.93333333,0.657232087
426,75.81666667,0.656585179
427,74.36666667,0.655938917
428,54.95238095,0.655293301
429,76.11666667,0.65464833
430,61.21666667,0.654004004
431,62.31666667,0.653360322
432,86.58333333,0.652717283
433,66.8,0.652074887
434,57.31666667,0.651433133
435,89.1,0.65079202
436,72.35,0.650151549
437,65.66666667,0.649511717
438,70.03333333,0.648872525
439,80.41666667,0.648233972
440,118.5,0.647596057
441,65.88333333,0.64695878
442,63.81666667,0.646322139
443,89.96666667,0.645686135
444,57.01190476,0.645050767
445,98.03333333,0.644416033
446,64.51666667,0.643781934
447,64.78333333,0.643148469
448,77.53333333,0.642515637
449,68.96666667,0.641883438
450,99.83333333,0.64125187
451,55.09761905,0.640620934
452,83.75,0.639990628
453,67.7,0.639360952
454,61.71331169,0.638731906
455,79.93333333,0.638103488
456,71.01666667,0.637475699
457,69.11666667,0.636848537
458,75.4452381,0.636222001
459,73.56666667,0.635596092
460,69.01666667,0.634970809
461,61.28333333,0.634346151
462,85.18333333,0.633722117
463,103.6666667,0.633098706
464,58.8,0.632475919
465,75.06666667,0.631853754
466,85.15,0.631232211
467,65.41666667,0.63061129
468,69.37380952,0.629990988
469,60.18333333,0.629371307
470,103.1666667,0.628752246
471,64.65,0.628133803
472,78.08333333,0.627515978
473,93.05,0.62689877
474,64.13333333,0.62628218
475,70.13333333,0.625666206
476,73,0.625050847
477,66.53333333,0.624436104
478,94.08333333,0.623821975
479,70.38333333,0.62320846
480,66.75,0.622595558
481,65.05,0.621983269
482,75.56666667,0.621371591
483,83.6,0.620760525
484,58.21666667,0.62015007
485,67.33333333,0.619540225
486,68.38333333,0.618930989
487,63.93333333,0.618322363
488,63.41078644,0.617714344
489,82.98333333,0.617106934
490,82.41666667,0.61650013
491,78.78333333,0.615893933
